"submission_date","reviewer_id","product_id","product_name","product_brand","site_category_lv1","site_category_lv2","review_title","overall_rating","recommend_to_a_friend","review_text","reviewer_birth_year","reviewer_gender","reviewer_state",,,,,
"2018-01-01 00:11:28","d0fb1ca69422530334178f5c8624aa7a99da47907c44de0243719b15d50623ce",132532965,"Notebook Asus Vivobook Max X541NA-GO472T Intel Celeron Quad Core 4GB 500GB Tela LED 15,6"" Windows - 10 Branco","null","Informática","Notebook","Bom",4,"Yes","Estou contente com a compra entrega rápida o único problema com as Americanas é se houver troca ou devolução do produto o consumidor tem problemas com espera.",1958,"F","RJ",,,,,
"2018-01-01 00:13:48","014d6dc5a10aed1ff1e6f349fb2b059a2d3de511c7538a9008da562ead5f5ecd",22562178,"Copo Acrílico Com Canudo 500ml Rocie","null","Utilidades Domésticas","Copos, Taças e Canecas","Preço imbatível, ótima qualidade",4,"Yes","Por apenas R$1994.20,eu consegui comprar esse lindo copo de acrílico.",1996,"M","SC",,,,,
"2018-01-01 00:26:02","44f2c8edd93471926fff601274b8b2b5c4824e386ae4f210329b9b71890277fd",113022329,"Panela de Pressão Elétrica Philips Walita Daily 5L com Timer","philips walita","Eletroportáteis","Panela Elétrica","ATENDE TODAS AS EXPECTATIVA.",4,"Yes","SUPERA EM AGILIDADE E PRATICIDADE OUTRAS PANELAS ELÉTRICAS.  COSTUMO USAR OUTRA PANELA PARA COZIMENTO DE ARROZ (JAPONESA), MAS LEVA MUITO TEMPO,  +/- 50 MINUTOS.  NESSA PANELA  É MUITO MAIS RÁPIDO, EXATAMENTE 6 MINUTOS.    EU RECOMENDO.",1984,"M","SP",,,,,
"2018-01-01 00:35:54","ce741665c1764ab2d77539e18d0e4f66dde6213c9f0863f165ffedb1e8147984",113851581,"Betoneira Columbus - Roma Brinquedos","roma jensen","Brinquedos","Veículos de Brinquedo","presente mais que desejado",4,"Yes","MEU FILHO AMOU! PARECE DE VERDADE COM TANTOS DETALHES QUE TÊM!",1985,"F","SP",,,,,
"2018-01-01 01:00:28","7d7b6b18dda804a897359276cef0ca252f9932bf4b5c8e72bce7e88850efa0fc",131788803,"Smart TV LED 43"" LG 43UJ6525 Ultra HD 4K com Conversor Digital 4 HDMI 2 USB WebOS 3.5 Painel Ips HDR e Magic Mobile Connection","lg","TV e Home Theater","TV","Sem duvidas, excelente",5,"Yes","A entrega foi no prazo, as americanas estão de parabéns. A smart tv é muito boa, a navegação na internete e pelos aplicativos e excelente, não trava, sem falar da imagem que é de surpreender. recomendo.",1994,"M","MG",,,,,
"2018-01-01 01:27:23","28b1844e1cd24dd2288b7cafb052a0b46aed53ab28e1c11632e3a2297a64aad8",22562178,"Copo Acrílico Com Canudo 500ml Rocie","null","Utilidades Domésticas","Copos, Taças e Canecas","Produto imperdível",5,"Yes","Excelente produto, por fora em material acrílico super resistente e por dentro em adamantio, faz milagre com qualquer bebida. Sugiro aproveitarem a promoção antes que acabe.",1979,"M","PA",,,,,
"2018-01-01 01:54:38","48907a04d70947344017b351e8fc232bfc80dae2c33ac2e1524db127231ac542",22562178,"Copo Acrílico Com Canudo 500ml Rocie","null","Utilidades Domésticas","Copos, Taças e Canecas","ótimo",5,"Yes","produto mto bom, com essa garrafinha vc pode até servir água pro megazord. To pensando em vender minha tv pra comprar 1 garrafa dessa. RECOMENDO","null","null","null",,,,,
"2018-01-01 01:58:17","e039cbff059effe12756772b358af4323c2157e9561da88dbdbfb37181179172",132444092,"Smart phone Motorola Moto G 5S Dual Chip Android 7.1.1 Nougat Tela 5.2"" Snapdragon 430 32GB 4G Câmera 16MP - Platinum","null","Celulares e Smartphones","Smartphone","Gostei bastante do produto",4,"Yes","Produto excelente qualidade boa câmera desenvolvimento do Android com rapidez",1987,"M","GO",,,,,
"2018-01-01 02:02:13","a0fd1ad35b08d3b764ad6f884ef7183bf29fc7ebfcae65964d7e9c200e3c9335",122776350,"Ventilador de Teto Ventisol Fenix Premium Branco 3 velocidades com Controle Remoto","ventisol","Casa e Construção","Climatização","Gostei do produto",5,"Yes","O barulho e minimo e o vento é bem forte na velocidade 2",1987,"M","SP",,,,,
"2018-01-01 02:16:06","eb1cceab541aac33c21f2c2503b8a529d07a9837f8eec7f2d227520e754cd405",23474928,"Kit 10 Peças Fita Led 12v 5050 300 Leds Rgb + Fonte","null","Casa e Construção","Iluminação","NÃO RECEBI O PRODUTO",1,"No","MEU PRODUTO NAO FOI ENTREGUE E A AMERICANAS ESTA DESCONTANDO NA FATURA DO MEU CARTÃO",1984,"M","RJ",,,,,
